Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Tyler Ott (11250199),Tyler Ott,11250199,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
TE,Daniel Brown (11250253),Daniel Brown,11250253,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
TE,Nick Vannett (11250345),Nick Vannett,11250345,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,SEA,2.1
TE,Ben Braunecker (11250423),Ben Braunecker,11250423,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
TE,Darrell Daniels (11250597),Darrell Daniels,11250597,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
DST,Titans  (11249863),Titans ,11249863,DST,2400,HOU@TEN 09/16/2018 01:00PM ET,TEN,11
DST,Colts  (11249864),Colts ,11249864,DST,2300,IND@WAS 09/16/2018 01:00PM ET,IND,5
DST,Lions  (11249861),Lions ,11249861,DST,2300,DET@SF 09/16/2018 04:05PM ET,DET,8
DST,Raiders  (11249866),Raiders ,11249866,DST,2300,OAK@DEN 09/16/2018 04:25PM ET,OAK,1
DST,Buccaneers  (11249880),Buccaneers ,11249880,DST,2200,PHI@TB 09/16/2018 01:00PM ET,TB,7
DST,Chiefs  (11249865),Chiefs ,11249865,DST,2200,KC@PIT 09/16/2018 01:00PM ET,KC,10
DST,Bills  (11249855),Bills ,11249855,DST,2100,LAC@BUF 09/16/2018 01:00PM ET,BUF,0
DST,Cardinals  (11249875),Cardinals ,11249875,DST,2100,ARI@LAR 09/16/2018 04:05PM ET,ARI,5
DST,Browns  (11249858),Browns ,11249858,DST,2000,CLE@NO 09/16/2018 01:00PM ET,CLE,16
